year, mo,    data_type, region, extent,   area
1979, 10,      Goddard,      N,   9.43,   6.13
1980, 10,      Goddard,      N,   9.49,   6.43
1981, 10,      Goddard,      N,   9.21,   6.20
1982, 10,      Goddard,      N,  10.02,   6.61
1983, 10,      Goddard,      N,   9.69,   6.72
1984, 10,      Goddard,      N,   8.87,   5.85
1985, 10,      Goddard,      N,   8.92,   6.05
1986, 10,      Goddard,      N,   9.92,   6.79
1987, 10,      Goddard,      N,   9.33,   7.46
1988, 10,      Goddard,      N,   9.51,   7.49
1989, 10,      Goddard,      N,   9.55,   6.92
1990, 10,      Goddard,      N,   9.40,   6.70
1991, 10,      Goddard,      N,   9.20,   6.72
1992, 10,      Goddard,      N,   9.64,   7.71
1993, 10,      Goddard,      N,   9.25,   7.01
1994, 10,      Goddard,      N,   9.53,   7.19
1995, 10,      Goddard,      N,   8.98,   5.94
1996, 10,      Goddard,      N,   9.43,   7.51
1997, 10,      Goddard,      N,   8.80,   6.41
1998, 10,      Goddard,      N,   8.89,   6.67
1999, 10,      Goddard,      N,   9.14,   6.79
2000, 10,      Goddard,      N,   8.95,   6.66
2001, 10,      Goddard,      N,   8.60,   6.60
2002, 10,      Goddard,      N,   8.83,   6.22
2003, 10,      Goddard,      N,   8.67,   5.95
2004, 10,      Goddard,      N,   8.50,   6.36
2005, 10,      Goddard,      N,   8.49,   5.74
2006, 10,      Goddard,      N,   8.36,   5.76
2007, 10,      Goddard,      N,   6.80,   4.23
2008, 10,      Goddard,      N,   8.44,   5.72
2009, 10,      Goddard,      N,   7.55,   5.17
2010, 10,      Goddard,      N,   7.73,   5.44
2011, 10,      Goddard,      N,   7.17,   4.92
2012, 10,      Goddard,      N,   7.09,   4.53
2013, 10,      Goddard,      N,   8.15,   5.91
2014, 10,      Goddard,      N,   8.12,   5.62
2015, 10,      Goddard,      N,   7.79,   5.43
2016, 10,      NRTSI-G,      N,   6.45,   4.27
