year, mo,    data_type, region, extent,   area
1979,  6,      Goddard,      S,  14.74,  11.14
1980,  6,      Goddard,      S,  13.23,   9.49
1981,  6,      Goddard,      S,  13.92,  10.08
1982,  6,      Goddard,      S,  13.99,  10.41
1983,  6,      Goddard,      S,  13.35,   9.68
1984,  6,      Goddard,      S,  13.92,  10.55
1985,  6,      Goddard,      S,  14.00,  10.43
1986,  6,      Goddard,      S,  13.33,   9.64
1987,  6,      Goddard,      S,  13.31,   9.81
1988,  6,      Goddard,      S,  13.66,  10.22
1989,  6,      Goddard,      S,  14.21,  10.76
1990,  6,      Goddard,      S,  13.78,  10.29
1991,  6,      Goddard,      S,  13.57,   9.91
1992,  6,      Goddard,      S,  13.40,   9.93
1993,  6,      Goddard,      S,  13.67,  10.31
1994,  6,      Goddard,      S,  14.17,  10.66
1995,  6,      Goddard,      S,  13.88,  10.39
1996,  6,      Goddard,      S,  14.43,  11.03
1997,  6,      Goddard,      S,  13.72,  10.15
1998,  6,      Goddard,      S,  14.02,  10.28
1999,  6,      Goddard,      S,  14.27,  10.77
2000,  6,      Goddard,      S,  14.45,  10.97
2001,  6,      Goddard,      S,  13.96,  10.50
2002,  6,      Goddard,      S,  12.98,   9.63
2003,  6,      Goddard,      S,  14.53,  11.10
2004,  6,      Goddard,      S,  14.40,  10.83
2005,  6,      Goddard,      S,  13.97,  10.23
2006,  6,      Goddard,      S,  14.02,  10.51
2007,  6,      Goddard,      S,  13.90,  10.41
2008,  6,      Goddard,      S,  14.53,  11.33
2009,  6,      Goddard,      S,  14.43,  11.02
2010,  6,      Goddard,      S,  15.01,  11.57
2011,  6,      Goddard,      S,  13.80,  10.47
2012,  6,      Goddard,      S,  14.21,  10.71
2013,  6,      Goddard,      S,  14.69,  11.19
2014,  6,      Goddard,      S,  15.30,  11.99
2015,  6,      Goddard,      S,  14.98,  11.40
2016,  6,      NRTSI-G,      S,  13.85,  10.54
