year, mo,    data_type, region, extent,   area
1979,  2,      Goddard,      S,   3.14,   2.05
1980,  2,      Goddard,      S,   2.85,   1.79
1981,  2,      Goddard,      S,   2.89,   1.68
1982,  2,      Goddard,      S,   3.13,   1.81
1983,  2,      Goddard,      S,   3.07,   1.85
1984,  2,      Goddard,      S,   2.75,   1.71
1985,  2,      Goddard,      S,   2.83,   1.79
1986,  2,      Goddard,      S,   3.21,   1.95
1987,  2,      Goddard,      S,   3.28,   1.94
1988,  2,      Goddard,      S,   2.92,   1.87
1989,  2,      Goddard,      S,   3.07,   1.99
1990,  2,      Goddard,      S,   3.08,   2.17
1991,  2,      Goddard,      S,   3.19,   2.04
1992,  2,      Goddard,      S,   2.93,   1.81
1993,  2,      Goddard,      S,   2.56,   1.33
1994,  2,      Goddard,      S,   3.22,   2.19
1995,  2,      Goddard,      S,   3.58,   2.15
1996,  2,      Goddard,      S,   3.02,   1.72
1997,  2,      Goddard,      S,   2.52,   1.68
1998,  2,      Goddard,      S,   3.06,   1.83
1999,  2,      Goddard,      S,   3.01,   1.73
2000,  2,      Goddard,      S,   2.95,   1.66
2001,  2,      Goddard,      S,   3.81,   2.41
2002,  2,      Goddard,      S,   2.98,   1.78
2003,  2,      Goddard,      S,   3.92,   2.62
2004,  2,      Goddard,      S,   3.66,   2.31
2005,  2,      Goddard,      S,   2.99,   1.93
2006,  2,      Goddard,      S,   2.69,   1.73
2007,  2,      Goddard,      S,   2.95,   1.91
2008,  2,      Goddard,      S,   3.95,   2.35
2009,  2,      Goddard,      S,   2.98,   1.92
2010,  2,      Goddard,      S,   3.20,   2.06
2011,  2,      Goddard,      S,   2.52,   1.83
2012,  2,      Goddard,      S,   3.61,   2.13
2013,  2,      Goddard,      S,   3.91,   2.54
2014,  2,      Goddard,      S,   3.90,   2.59
2015,  2,      Goddard,      S,   3.77,   2.49
2016,  2,      NRTSI-G,      S,   2.82,   1.81
2017,  2,      NRTSI-G,      S,   2.35,   1.61
