year, mo,    data_type, region, extent,   area
1979,  2,      Goddard,      N,  16.38,  13.14
1980,  2,      Goddard,      N,  16.07,  12.85
1981,  2,      Goddard,      N,  15.75,  12.48
1982,  2,      Goddard,      N,  16.14,  12.82
1983,  2,      Goddard,      N,  16.10,  12.89
1984,  2,      Goddard,      N,  15.42,  12.20
1985,  2,      Goddard,      N,  15.77,  12.42
1986,  2,      Goddard,      N,  15.99,  12.56
1987,  2,      Goddard,      N,  16.21,  12.97
1988,  2,      Goddard,      N,  15.73,  13.53
1989,  2,      Goddard,      N,  15.67,  13.32
1990,  2,      Goddard,      N,  15.69,  13.37
1991,  2,      Goddard,      N,  15.37,  13.18
1992,  2,      Goddard,      N,  15.62,  13.54
1993,  2,      Goddard,      N,  15.85,  13.58
1994,  2,      Goddard,      N,  15.72,  13.49
1995,  2,      Goddard,      N,  15.37,  13.33
1996,  2,      Goddard,      N,  15.32,  12.94
1997,  2,      Goddard,      N,  15.63,  13.40
1998,  2,      Goddard,      N,  15.90,  13.73
1999,  2,      Goddard,      N,  15.48,  13.42
2000,  2,      Goddard,      N,  15.30,  13.06
2001,  2,      Goddard,      N,  15.42,  13.18
2002,  2,      Goddard,      N,  15.47,  13.39
2003,  2,      Goddard,      N,  15.35,  13.20
2004,  2,      Goddard,      N,  15.04,  12.91
2005,  2,      Goddard,      N,  14.50,  12.31
2006,  2,      Goddard,      N,  14.54,  12.32
2007,  2,      Goddard,      N,  14.65,  12.55
2008,  2,      Goddard,      N,  15.09,  13.17
2009,  2,      Goddard,      N,  14.93,  13.17
2010,  2,      Goddard,      N,  14.70,  12.92
2011,  2,      Goddard,      N,  14.49,  12.72
2012,  2,      Goddard,      N,  14.70,  12.68
2013,  2,      Goddard,      N,  14.81,  13.16
2014,  2,      Goddard,      N,  14.55,  12.51
2015,  2,      Goddard,      N,  14.51,  12.81
2016,  2,      NRTSI-G,      N,  14.32,  12.29
