year, mo,    data_type, region, extent,   area
1979,  4,      Goddard,      N,  15.56,  12.46
1980,  4,      Goddard,      N,  15.55,  12.46
1981,  4,      Goddard,      N,  15.19,  12.18
1982,  4,      Goddard,      N,  15.62,  12.57
1983,  4,      Goddard,      N,  15.36,  12.13
1984,  4,      Goddard,      N,  15.23,  12.12
1985,  4,      Goddard,      N,  15.41,  12.48
1986,  4,      Goddard,      N,  15.23,  11.97
1987,  4,      Goddard,      N,  15.38,  12.29
1988,  4,      Goddard,      N,  15.32,  13.14
1989,  4,      Goddard,      N,  14.53,  12.29
1990,  4,      Goddard,      N,  14.79,  12.20
1991,  4,      Goddard,      N,  15.03,  12.82
1992,  4,      Goddard,      N,  14.80,  12.78
1993,  4,      Goddard,      N,  15.30,  12.98
1994,  4,      Goddard,      N,  15.07,  12.87
1995,  4,      Goddard,      N,  14.71,  12.35
1996,  4,      Goddard,      N,  14.35,  12.26
1997,  4,      Goddard,      N,  14.69,  12.51
1998,  4,      Goddard,      N,  14.99,  12.79
1999,  4,      Goddard,      N,  15.24,  13.11
2000,  4,      Goddard,      N,  14.75,  12.55
2001,  4,      Goddard,      N,  14.97,  13.01
2002,  4,      Goddard,      N,  14.46,  12.37
2003,  4,      Goddard,      N,  14.68,  12.42
2004,  4,      Goddard,      N,  14.20,  12.11
2005,  4,      Goddard,      N,  14.18,  12.19
2006,  4,      Goddard,      N,  14.07,  11.99
2007,  4,      Goddard,      N,  13.97,  11.78
2008,  4,      Goddard,      N,  14.49,  12.72
2009,  4,      Goddard,      N,  14.64,  12.88
2010,  4,      Goddard,      N,  14.76,  12.80
2011,  4,      Goddard,      N,  14.22,  12.40
2012,  4,      Goddard,      N,  14.78,  12.82
2013,  4,      Goddard,      N,  14.44,  12.69
2014,  4,      Goddard,      N,  14.25,  12.38
2015,  4,      Goddard,      N,  13.98,  12.29
2016,  4,      NRTSI-G,      N,  13.83,  11.89
