year, mo,    data_type, region, extent,   area
1979,  5,      Goddard,      S,  11.43,   8.20
1980,  5,      Goddard,      S,   9.46,   6.35
1981,  5,      Goddard,      S,  10.11,   6.98
1982,  5,      Goddard,      S,  11.16,   8.18
1983,  5,      Goddard,      S,  10.09,   7.07
1984,  5,      Goddard,      S,  10.37,   7.33
1985,  5,      Goddard,      S,  10.86,   7.75
1986,  5,      Goddard,      S,   9.80,   6.99
1987,  5,      Goddard,      S,  10.27,   7.46
1988,  5,      Goddard,      S,  10.36,   7.16
1989,  5,      Goddard,      S,  11.19,   7.93
1990,  5,      Goddard,      S,  10.38,   7.40
1991,  5,      Goddard,      S,  11.11,   7.79
1992,  5,      Goddard,      S,  10.41,   7.56
1993,  5,      Goddard,      S,  10.63,   7.82
1994,  5,      Goddard,      S,  10.99,   8.14
1995,  5,      Goddard,      S,  11.07,   8.13
1996,  5,      Goddard,      S,  11.53,   8.59
1997,  5,      Goddard,      S,  10.86,   7.84
1998,  5,      Goddard,      S,  10.96,   7.85
1999,  5,      Goddard,      S,  10.92,   8.01
2000,  5,      Goddard,      S,  11.68,   8.49
2001,  5,      Goddard,      S,  10.98,   7.94
2002,  5,      Goddard,      S,  10.02,   7.11
2003,  5,      Goddard,      S,  11.41,   8.37
2004,  5,      Goddard,      S,  10.98,   8.11
2005,  5,      Goddard,      S,  11.00,   7.90
2006,  5,      Goddard,      S,  10.20,   7.11
2007,  5,      Goddard,      S,  10.35,   7.46
2008,  5,      Goddard,      S,  11.53,   8.53
2009,  5,      Goddard,      S,  11.45,   8.38
2010,  5,      Goddard,      S,  11.51,   8.25
2011,  5,      Goddard,      S,  10.86,   7.77
2012,  5,      Goddard,      S,  10.98,   8.08
2013,  5,      Goddard,      S,  11.49,   8.42
2014,  5,      Goddard,      S,  12.06,   8.95
2015,  5,      Goddard,      S,  12.15,   9.14
2016,  5,      NRTSI-G,      S,  10.72,   7.86
