year, mo,    data_type, region, extent,   area
1979,  8,      Goddard,      N,   8.18,   4.97
1980,  8,      Goddard,      N,   8.08,   4.85
1981,  8,      Goddard,      N,   7.89,   4.39
1982,  8,      Goddard,      N,   8.30,   4.94
1983,  8,      Goddard,      N,   8.39,   4.89
1984,  8,      Goddard,      N,   7.94,   4.61
1985,  8,      Goddard,      N,   7.50,   4.52
1986,  8,      Goddard,      N,   8.04,   4.93
1987,  8,      Goddard,      N,   7.72,   4.50
1988,  8,      Goddard,      N,   7.99,   5.37
1989,  8,      Goddard,      N,   8.00,   5.51
1990,  8,      Goddard,      N,   6.87,   4.93
1991,  8,      Goddard,      N,   7.46,   5.15
1992,  8,      Goddard,      N,   7.96,   5.37
1993,  8,      Goddard,      N,   7.39,   4.68
1994,  8,      Goddard,      N,   7.70,   5.12
1995,  8,      Goddard,      N,   6.75,   4.63
1996,  8,      Goddard,      N,   8.29,   5.68
1997,  8,      Goddard,      N,   7.35,   5.04
1998,  8,      Goddard,      N,   7.56,   4.63
1999,  8,      Goddard,      N,   7.44,   4.69
2000,  8,      Goddard,      N,   7.27,   4.73
2001,  8,      Goddard,      N,   7.53,   4.89
2002,  8,      Goddard,      N,   6.57,   4.25
2003,  8,      Goddard,      N,   6.93,   4.46
2004,  8,      Goddard,      N,   6.87,   4.58
2005,  8,      Goddard,      N,   6.33,   4.15
2006,  8,      Goddard,      N,   6.56,   4.26
2007,  8,      Goddard,      N,   5.41,   3.12
2008,  8,      Goddard,      N,   6.07,   3.70
2009,  8,      Goddard,      N,   6.29,   4.10
2010,  8,      Goddard,      N,   6.03,   3.83
2011,  8,      Goddard,      N,   5.57,   3.31
2012,  8,      Goddard,      N,   4.71,   2.82
2013,  8,      Goddard,      N,   6.10,   4.11
2014,  8,      Goddard,      N,   6.23,   4.30
2015,  8,      Goddard,      N,   5.66,   3.55
2016,  8,      NRTSI-G,      N,   5.60,   3.21
