year, mo,    data_type, region, extent,   area
1978, 12,      Goddard,      S,  11.39,   6.82
1979, 12,      Goddard,      S,  10.39,   6.05
1980, 12,      Goddard,      S,  11.16,   6.39
1981, 12,      Goddard,      S,  12.17,   6.86
1982, 12,      Goddard,      S,   9.92,   6.16
1983, 12,      Goddard,      S,  11.38,   6.54
1984, 12,      Goddard,      S,  11.46,   6.80
1985, 12,      Goddard,      S,  12.37,   7.33
1986, 12,      Goddard,      S,  10.14,   6.33
1987, 12,        -9999,      S,  -9999,  -9999
1988, 12,      Goddard,      S,  12.28,   7.31
1989, 12,      Goddard,      S,  10.79,   6.56
1990, 12,      Goddard,      S,  10.75,   6.61
1991, 12,      Goddard,      S,  11.24,   6.67
1992, 12,      Goddard,      S,  11.33,   6.06
1993, 12,      Goddard,      S,  11.09,   6.54
1994, 12,      Goddard,      S,  10.77,   6.99
1995, 12,      Goddard,      S,  11.45,   7.08
1996, 12,      Goddard,      S,  10.62,   6.09
1997, 12,      Goddard,      S,  11.52,   6.89
1998, 12,      Goddard,      S,  11.46,   6.66
1999, 12,      Goddard,      S,  11.69,   6.68
2000, 12,      Goddard,      S,  10.90,   6.82
2001, 12,      Goddard,      S,  11.05,   6.21
2002, 12,      Goddard,      S,  11.66,   7.52
2003, 12,      Goddard,      S,  11.48,   7.07
2004, 12,      Goddard,      S,  11.48,   6.80
2005, 12,      Goddard,      S,  10.82,   6.17
2006, 12,      Goddard,      S,  10.58,   6.32
2007, 12,      Goddard,      S,  12.73,   8.32
2008, 12,      Goddard,      S,  12.32,   7.26
2009, 12,      Goddard,      S,  11.45,   6.96
2010, 12,      Goddard,      S,  12.23,   6.77
2011, 12,      Goddard,      S,  12.30,   7.30
2012, 12,      Goddard,      S,  11.40,   7.25
2013, 12,      Goddard,      S,  12.73,   8.21
2014, 12,      Goddard,      S,  12.48,   8.09
2015, 12,      Goddard,      S,  11.40,   6.93
2016, 12,      NRTSI-G,      S,   8.83,   5.27
