year, mo,    data_type, region, extent,   area
1979,  5,      Goddard,      N,  14.09,  11.05
1980,  5,      Goddard,      N,  14.08,  10.90
1981,  5,      Goddard,      N,  13.92,  10.94
1982,  5,      Goddard,      N,  14.18,  11.11
1983,  5,      Goddard,      N,  13.57,  10.81
1984,  5,      Goddard,      N,  13.70,  10.82
1985,  5,      Goddard,      N,  14.26,  11.20
1986,  5,      Goddard,      N,  13.55,  10.64
1987,  5,      Goddard,      N,  13.85,  10.92
1988,  5,      Goddard,      N,  13.75,  11.37
1989,  5,      Goddard,      N,  13.05,  11.31
1990,  5,      Goddard,      N,  13.36,  10.86
1991,  5,      Goddard,      N,  13.58,  11.46
1992,  5,      Goddard,      N,  13.31,  11.38
1993,  5,      Goddard,      N,  13.60,  11.37
1994,  5,      Goddard,      N,  13.82,  11.62
1995,  5,      Goddard,      N,  13.22,  10.87
1996,  5,      Goddard,      N,  13.14,  11.24
1997,  5,      Goddard,      N,  13.39,  11.19
1998,  5,      Goddard,      N,  13.86,  11.37
1999,  5,      Goddard,      N,  13.92,  11.63
2000,  5,      Goddard,      N,  13.26,  11.19
2001,  5,      Goddard,      N,  13.78,  11.34
2002,  5,      Goddard,      N,  13.18,  11.13
2003,  5,      Goddard,      N,  13.09,  10.84
2004,  5,      Goddard,      N,  12.64,  10.87
2005,  5,      Goddard,      N,  13.07,  10.85
2006,  5,      Goddard,      N,  12.68,  10.41
2007,  5,      Goddard,      N,  12.96,  10.73
2008,  5,      Goddard,      N,  13.23,  11.21
2009,  5,      Goddard,      N,  13.43,  11.44
2010,  5,      Goddard,      N,  13.17,  10.84
2011,  5,      Goddard,      N,  12.88,  10.70
2012,  5,      Goddard,      N,  13.16,  11.01
2013,  5,      Goddard,      N,  13.13,  11.22
2014,  5,      Goddard,      N,  12.80,  11.00
2015,  5,      Goddard,      N,  12.69,  10.86
2016,  5,      NRTSI-G,      N,  12.08,  10.14
