year, mo,    data_type, region, extent,   area
1979,  6,      Goddard,      N,  12.65,   9.30
1980,  6,      Goddard,      N,  12.37,   8.95
1981,  6,      Goddard,      N,  12.62,   8.98
1982,  6,      Goddard,      N,  12.75,   9.42
1983,  6,      Goddard,      N,  12.39,   9.21
1984,  6,      Goddard,      N,  12.25,   9.04
1985,  6,      Goddard,      N,  12.45,   8.90
1986,  6,      Goddard,      N,  12.14,   8.94
1987,  6,      Goddard,      N,  12.61,   9.34
1988,  6,      Goddard,      N,  12.11,   9.65
1989,  6,      Goddard,      N,  12.37,   9.92
1990,  6,      Goddard,      N,  11.77,   9.15
1991,  6,      Goddard,      N,  12.29,   9.62
1992,  6,      Goddard,      N,  12.20,   9.91
1993,  6,      Goddard,      N,  12.07,   9.23
1994,  6,      Goddard,      N,  12.16,   9.65
1995,  6,      Goddard,      N,  11.66,   8.91
1996,  6,      Goddard,      N,  12.17,   9.80
1997,  6,      Goddard,      N,  11.99,   9.17
1998,  6,      Goddard,      N,  11.95,   9.14
1999,  6,      Goddard,      N,  12.19,   9.21
2000,  6,      Goddard,      N,  11.80,   9.02
2001,  6,      Goddard,      N,  11.75,   9.04
2002,  6,      Goddard,      N,  11.77,   9.16
2003,  6,      Goddard,      N,  11.85,   9.08
2004,  6,      Goddard,      N,  11.58,   9.21
2005,  6,      Goddard,      N,  11.38,   8.77
2006,  6,      Goddard,      N,  11.13,   8.37
2007,  6,      Goddard,      N,  11.59,   8.19
2008,  6,      Goddard,      N,  11.41,   8.80
2009,  6,      Goddard,      N,  11.51,   9.21
2010,  6,      Goddard,      N,  10.86,   8.30
2011,  6,      Goddard,      N,  11.04,   8.49
2012,  6,      Goddard,      N,  10.97,   8.07
2013,  6,      Goddard,      N,  11.60,   8.91
2014,  6,      Goddard,      N,  11.34,   8.71
2015,  6,      Goddard,      N,  11.05,   8.66
2016,  6,      NRTSI-G,      N,  10.60,   8.09
