year, mo,    data_type, region, extent,   area
1979,  1,      Goddard,      S,   5.74,   3.38
1980,  1,      Goddard,      S,   4.76,   2.99
1981,  1,      Goddard,      S,   4.52,   2.74
1982,  1,      Goddard,      S,   5.46,   3.14
1983,  1,      Goddard,      S,   4.97,   3.10
1984,  1,      Goddard,      S,   5.17,   2.80
1985,  1,      Goddard,      S,   4.51,   2.74
1986,  1,      Goddard,      S,   5.59,   3.27
1987,  1,      Goddard,      S,   5.19,   3.20
1988,  1,        -9999,      S,  -9999,  -9999
1989,  1,      Goddard,      S,   4.96,   3.07
1990,  1,      Goddard,      S,   5.18,   3.30
1991,  1,      Goddard,      S,   5.54,   3.43
1992,  1,      Goddard,      S,   4.93,   3.15
1993,  1,      Goddard,      S,   4.67,   2.46
1994,  1,      Goddard,      S,   5.28,   3.30
1995,  1,      Goddard,      S,   5.94,   3.66
1996,  1,      Goddard,      S,   6.28,   3.47
1997,  1,      Goddard,      S,   4.36,   2.69
1998,  1,      Goddard,      S,   4.54,   2.95
1999,  1,      Goddard,      S,   5.02,   3.02
2000,  1,      Goddard,      S,   4.90,   2.82
2001,  1,      Goddard,      S,   5.43,   3.58
2002,  1,      Goddard,      S,   4.82,   2.85
2003,  1,      Goddard,      S,   6.27,   4.04
2004,  1,      Goddard,      S,   5.87,   3.73
2005,  1,      Goddard,      S,   5.01,   3.06
2006,  1,      Goddard,      S,   4.32,   2.70
2007,  1,      Goddard,      S,   4.95,   2.90
2008,  1,      Goddard,      S,   6.94,   3.95
2009,  1,      Goddard,      S,   6.03,   3.39
2010,  1,      Goddard,      S,   4.99,   3.21
2011,  1,      Goddard,      S,   4.76,   2.91
2012,  1,      Goddard,      S,   5.85,   3.61
2013,  1,      Goddard,      S,   5.86,   3.88
2014,  1,      Goddard,      S,   6.79,   4.27
2015,  1,      Goddard,      S,   7.59,   4.23
2016,  1,      NRTSI-G,      S,   5.03,   2.89
2017,  1,      NRTSI-G,      S,   4.04,   2.46
