year, mo,    data_type, region, extent,   area
1979, 10,      Goddard,      S,  18.04,  13.62
1980, 10,      Goddard,      S,  18.91,  14.49
1981, 10,      Goddard,      S,  18.56,  14.34
1982, 10,      Goddard,      S,  18.02,  13.65
1983, 10,      Goddard,      S,  18.13,  13.84
1984, 10,      Goddard,      S,  17.76,  13.65
1985, 10,      Goddard,      S,  18.44,  14.29
1986, 10,      Goddard,      S,  17.62,  13.23
1987, 10,      Goddard,      S,  18.08,  13.62
1988, 10,      Goddard,      S,  18.66,  14.35
1989, 10,      Goddard,      S,  18.08,  13.79
1990, 10,      Goddard,      S,  18.25,  13.74
1991, 10,      Goddard,      S,  18.26,  13.73
1992, 10,      Goddard,      S,  18.28,  13.79
1993, 10,      Goddard,      S,  18.44,  14.11
1994, 10,      Goddard,      S,  18.32,  14.00
1995, 10,      Goddard,      S,  18.38,  13.50
1996, 10,      Goddard,      S,  18.22,  13.88
1997, 10,      Goddard,      S,  18.20,  14.04
1998, 10,      Goddard,      S,  18.89,  14.48
1999, 10,      Goddard,      S,  18.78,  14.16
2000, 10,      Goddard,      S,  18.53,  14.19
2001, 10,      Goddard,      S,  18.13,  13.27
2002, 10,      Goddard,      S,  18.22,  13.76
2003, 10,      Goddard,      S,  18.43,  13.80
2004, 10,      Goddard,      S,  18.65,  14.06
2005, 10,      Goddard,      S,  18.78,  13.96
2006, 10,      Goddard,      S,  19.05,  14.61
2007, 10,      Goddard,      S,  18.76,  14.53
2008, 10,      Goddard,      S,  18.10,  14.06
2009, 10,      Goddard,      S,  18.60,  14.27
2010, 10,      Goddard,      S,  18.85,  14.34
2011, 10,      Goddard,      S,  18.55,  14.13
2012, 10,      Goddard,      S,  18.92,  14.36
2013, 10,      Goddard,      S,  19.48,  15.04
2014, 10,      Goddard,      S,  19.25,  14.75
2015, 10,      Goddard,      S,  18.61,  14.28
2016, 10,      NRTSI-G,      S,  17.63,  12.79
