year, mo,    data_type, region, extent,   area
1979,  4,      Goddard,      S,   8.20,   5.37
1980,  4,      Goddard,      S,   5.93,   3.59
1981,  4,      Goddard,      S,   6.32,   3.99
1982,  4,      Goddard,      S,   8.27,   5.72
1983,  4,      Goddard,      S,   7.08,   4.61
1984,  4,      Goddard,      S,   7.01,   4.44
1985,  4,      Goddard,      S,   7.05,   4.66
1986,  4,      Goddard,      S,   6.92,   4.50
1987,  4,      Goddard,      S,   7.36,   4.97
1988,  4,      Goddard,      S,   6.88,   4.38
1989,  4,      Goddard,      S,   6.86,   4.44
1990,  4,      Goddard,      S,   7.51,   5.12
1991,  4,      Goddard,      S,   7.52,   5.12
1992,  4,      Goddard,      S,   7.45,   4.94
1993,  4,      Goddard,      S,   7.20,   4.84
1994,  4,      Goddard,      S,   7.70,   5.40
1995,  4,      Goddard,      S,   7.80,   5.35
1996,  4,      Goddard,      S,   8.02,   5.31
1997,  4,      Goddard,      S,   7.12,   4.78
1998,  4,      Goddard,      S,   7.58,   5.05
1999,  4,      Goddard,      S,   7.35,   5.07
2000,  4,      Goddard,      S,   7.79,   5.25
2001,  4,      Goddard,      S,   7.55,   5.24
2002,  4,      Goddard,      S,   7.02,   4.51
2003,  4,      Goddard,      S,   7.80,   5.50
2004,  4,      Goddard,      S,   7.83,   5.35
2005,  4,      Goddard,      S,   7.53,   5.14
2006,  4,      Goddard,      S,   6.60,   4.22
2007,  4,      Goddard,      S,   7.03,   4.64
2008,  4,      Goddard,      S,   8.68,   6.16
2009,  4,      Goddard,      S,   8.37,   5.90
2010,  4,      Goddard,      S,   7.31,   4.93
2011,  4,      Goddard,      S,   6.76,   4.32
2012,  4,      Goddard,      S,   7.99,   5.48
2013,  4,      Goddard,      S,   8.10,   5.68
2014,  4,      Goddard,      S,   9.03,   6.35
2015,  4,      Goddard,      S,   9.10,   6.30
2016,  4,      NRTSI-G,      S,   7.71,   5.30
