year, mo,    data_type, region, extent,   area
1979,  8,      Goddard,      S,  18.11,  13.70
1980,  8,      Goddard,      S,  18.12,  13.87
1981,  8,      Goddard,      S,  18.23,  14.07
1982,  8,      Goddard,      S,  18.14,  14.22
1983,  8,      Goddard,      S,  17.63,  13.75
1984,  8,      Goddard,      S,  18.23,  14.17
1985,  8,      Goddard,      S,  18.05,  14.17
1986,  8,      Goddard,      S,  17.72,  13.37
1987,  8,      Goddard,      S,  18.00,  13.95
1988,  8,      Goddard,      S,  18.16,  13.91
1989,  8,      Goddard,      S,  17.80,  13.98
1990,  8,      Goddard,      S,  18.01,  13.98
1991,  8,      Goddard,      S,  18.23,  13.99
1992,  8,      Goddard,      S,  18.23,  14.11
1993,  8,      Goddard,      S,  17.87,  13.87
1994,  8,      Goddard,      S,  18.31,  14.42
1995,  8,      Goddard,      S,  18.25,  14.14
1996,  8,      Goddard,      S,  18.19,  13.83
1997,  8,      Goddard,      S,  18.10,  14.03
1998,  8,      Goddard,      S,  18.25,  14.01
1999,  8,      Goddard,      S,  18.33,  14.18
2000,  8,      Goddard,      S,  18.67,  14.58
2001,  8,      Goddard,      S,  18.07,  13.68
2002,  8,      Goddard,      S,  17.49,  13.68
2003,  8,      Goddard,      S,  18.09,  13.69
2004,  8,      Goddard,      S,  18.28,  14.18
2005,  8,      Goddard,      S,  18.31,  13.89
2006,  8,      Goddard,      S,  18.44,  14.48
2007,  8,      Goddard,      S,  18.10,  13.97
2008,  8,      Goddard,      S,  17.96,  14.06
2009,  8,      Goddard,      S,  18.63,  14.37
2010,  8,      Goddard,      S,  18.87,  14.88
2011,  8,      Goddard,      S,  18.19,  13.97
2012,  8,      Goddard,      S,  18.43,  14.48
2013,  8,      Goddard,      S,  18.98,  15.05
2014,  8,      Goddard,      S,  19.27,  15.02
2015,  8,      Goddard,      S,  18.08,  13.95
2016,  8,      NRTSI-G,      S,  18.19,  13.83
