year, mo,    data_type, region, extent,   area
1979,  9,      Goddard,      S,  18.41,  14.19
1980,  9,      Goddard,      S,  19.09,  14.79
1981,  9,      Goddard,      S,  18.92,  14.69
1982,  9,      Goddard,      S,  18.65,  14.45
1983,  9,      Goddard,      S,  18.87,  14.60
1984,  9,      Goddard,      S,  18.67,  14.19
1985,  9,      Goddard,      S,  19.04,  14.64
1986,  9,      Goddard,      S,  17.98,  13.79
1987,  9,      Goddard,      S,  18.72,  14.22
1988,  9,      Goddard,      S,  18.72,  14.14
1989,  9,      Goddard,      S,  18.33,  14.41
1990,  9,      Goddard,      S,  18.51,  14.33
1991,  9,      Goddard,      S,  18.63,  14.41
1992,  9,      Goddard,      S,  18.47,  14.07
1993,  9,      Goddard,      S,  18.75,  14.65
1994,  9,      Goddard,      S,  19.00,  14.54
1995,  9,      Goddard,      S,  18.74,  14.41
1996,  9,      Goddard,      S,  18.92,  14.48
1997,  9,      Goddard,      S,  19.19,  14.52
1998,  9,      Goddard,      S,  19.20,  14.78
1999,  9,      Goddard,      S,  19.08,  14.56
2000,  9,      Goddard,      S,  19.18,  15.01
2001,  9,      Goddard,      S,  18.47,  14.30
2002,  9,      Goddard,      S,  18.23,  14.03
2003,  9,      Goddard,      S,  18.63,  14.08
2004,  9,      Goddard,      S,  19.18,  14.53
2005,  9,      Goddard,      S,  19.19,  14.79
2006,  9,      Goddard,      S,  19.43,  15.12
2007,  9,      Goddard,      S,  19.30,  15.32
2008,  9,      Goddard,      S,  18.52,  14.32
2009,  9,      Goddard,      S,  19.22,  15.01
2010,  9,      Goddard,      S,  19.22,  14.33
2011,  9,      Goddard,      S,  18.97,  14.50
2012,  9,      Goddard,      S,  19.44,  15.34
2013,  9,      Goddard,      S,  19.84,  15.19
2014,  9,      Goddard,      S,  20.12,  15.67
2015,  9,      Goddard,      S,  18.76,  14.38
2016,  9,      NRTSI-G,      S,  18.45,  13.71
