year, mo,    data_type, region, extent,   area
1979,  3,      Goddard,      S,   4.47,   2.58
1980,  3,      Goddard,      S,   3.55,   2.05
1981,  3,      Goddard,      S,   3.67,   2.09
1982,  3,      Goddard,      S,   4.81,   2.76
1983,  3,      Goddard,      S,   4.34,   2.55
1984,  3,      Goddard,      S,   3.94,   2.28
1985,  3,      Goddard,      S,   4.00,   2.48
1986,  3,      Goddard,      S,   4.10,   2.32
1987,  3,      Goddard,      S,   4.43,   2.68
1988,  3,      Goddard,      S,   4.38,   2.56
1989,  3,      Goddard,      S,   4.24,   2.54
1990,  3,      Goddard,      S,   4.40,   2.73
1991,  3,      Goddard,      S,   4.36,   2.56
1992,  3,      Goddard,      S,   4.11,   2.42
1993,  3,      Goddard,      S,   4.23,   2.18
1994,  3,      Goddard,      S,   5.11,   3.15
1995,  3,      Goddard,      S,   5.02,   2.96
1996,  3,      Goddard,      S,   4.68,   2.59
1997,  3,      Goddard,      S,   3.89,   2.25
1998,  3,      Goddard,      S,   4.70,   2.67
1999,  3,      Goddard,      S,   4.57,   2.54
2000,  3,      Goddard,      S,   4.48,   2.62
2001,  3,      Goddard,      S,   5.10,   3.32
2002,  3,      Goddard,      S,   4.00,   2.31
2003,  3,      Goddard,      S,   4.84,   3.18
2004,  3,      Goddard,      S,   4.86,   3.12
2005,  3,      Goddard,      S,   4.51,   2.68
2006,  3,      Goddard,      S,   3.48,   1.96
2007,  3,      Goddard,      S,   4.14,   2.50
2008,  3,      Goddard,      S,   5.77,   3.63
2009,  3,      Goddard,      S,   4.99,   2.96
2010,  3,      Goddard,      S,   4.06,   2.61
2011,  3,      Goddard,      S,   3.64,   2.21
2012,  3,      Goddard,      S,   5.04,   2.86
2013,  3,      Goddard,      S,   5.36,   3.44
2014,  3,      Goddard,      S,   5.35,   3.25
2015,  3,      Goddard,      S,   5.52,   3.39
2016,  3,      NRTSI-G,      S,   4.67,   2.70
