year, mo,    data_type, region, extent,   area
1979,  3,      Goddard,      N,  16.52,  13.16
1980,  3,      Goddard,      N,  16.21,  12.94
1981,  3,      Goddard,      N,  15.70,  12.65
1982,  3,      Goddard,      N,  16.23,  13.02
1983,  3,      Goddard,      N,  16.19,  12.87
1984,  3,      Goddard,      N,  15.72,  12.50
1985,  3,      Goddard,      N,  16.14,  12.68
1986,  3,      Goddard,      N,  16.16,  12.68
1987,  3,      Goddard,      N,  16.02,  12.78
1988,  3,      Goddard,      N,  16.23,  13.87
1989,  3,      Goddard,      N,  15.62,  13.17
1990,  3,      Goddard,      N,  15.99,  13.47
1991,  3,      Goddard,      N,  15.60,  13.38
1992,  3,      Goddard,      N,  15.62,  13.44
1993,  3,      Goddard,      N,  15.98,  13.74
1994,  3,      Goddard,      N,  15.71,  13.51
1995,  3,      Goddard,      N,  15.44,  13.31
1996,  3,      Goddard,      N,  15.25,  12.87
1997,  3,      Goddard,      N,  15.69,  13.27
1998,  3,      Goddard,      N,  15.78,  13.53
1999,  3,      Goddard,      N,  15.52,  13.51
2000,  3,      Goddard,      N,  15.38,  13.13
2001,  3,      Goddard,      N,  15.72,  13.61
2002,  3,      Goddard,      N,  15.54,  13.39
2003,  3,      Goddard,      N,  15.61,  13.39
2004,  3,      Goddard,      N,  15.15,  12.96
2005,  3,      Goddard,      N,  14.85,  12.71
2006,  3,      Goddard,      N,  14.54,  12.47
2007,  3,      Goddard,      N,  14.76,  12.52
2008,  3,      Goddard,      N,  15.33,  13.50
2009,  3,      Goddard,      N,  15.21,  13.38
2010,  3,      Goddard,      N,  15.19,  13.49
2011,  3,      Goddard,      N,  14.67,  12.78
2012,  3,      Goddard,      N,  15.31,  13.37
2013,  3,      Goddard,      N,  15.16,  13.41
2014,  3,      Goddard,      N,  14.87,  12.91
2015,  3,      Goddard,      N,  14.49,  12.73
2016,  3,      NRTSI-G,      N,  14.53,  12.48
