year, mo,    data_type, region, extent,   area
1978, 11,      Goddard,      S,  16.42,  11.57
1979, 11,      Goddard,      S,  15.87,  11.21
1980, 11,      Goddard,      S,  16.71,  11.73
1981, 11,      Goddard,      S,  16.36,  11.98
1982, 11,      Goddard,      S,  16.03,  11.17
1983, 11,      Goddard,      S,  16.31,  11.46
1984, 11,      Goddard,      S,  16.59,  11.97
1985, 11,      Goddard,      S,  16.43,  12.25
1986, 11,      Goddard,      S,  15.54,  10.76
1987, 11,      Goddard,      S,  15.89,  11.15
1988, 11,      Goddard,      S,  16.67,  12.22
1989, 11,      Goddard,      S,  16.13,  11.35
1990, 11,      Goddard,      S,  16.06,  11.28
1991, 11,      Goddard,      S,  16.13,  11.39
1992, 11,      Goddard,      S,  16.33,  11.13
1993, 11,      Goddard,      S,  16.47,  11.75
1994, 11,      Goddard,      S,  16.49,  11.70
1995, 11,      Goddard,      S,  16.04,  11.42
1996, 11,      Goddard,      S,  16.41,  11.17
1997, 11,      Goddard,      S,  16.32,  11.52
1998, 11,      Goddard,      S,  16.72,  11.80
1999, 11,      Goddard,      S,  16.39,  11.44
2000, 11,      Goddard,      S,  16.30,  11.75
2001, 11,      Goddard,      S,  15.88,  10.92
2002, 11,      Goddard,      S,  16.00,  11.59
2003, 11,      Goddard,      S,  16.59,  11.39
2004, 11,      Goddard,      S,  16.62,  11.67
2005, 11,      Goddard,      S,  16.83,  11.73
2006, 11,      Goddard,      S,  16.81,  11.53
2007, 11,      Goddard,      S,  16.29,  12.06
2008, 11,      Goddard,      S,  16.62,  11.91
2009, 11,      Goddard,      S,  16.38,  11.72
2010, 11,      Goddard,      S,  16.97,  11.85
2011, 11,      Goddard,      S,  16.20,  11.66
2012, 11,      Goddard,      S,  16.68,  11.97
2013, 11,      Goddard,      S,  17.25,  12.68
2014, 11,      Goddard,      S,  16.71,  12.16
2015, 11,      Goddard,      S,  16.56,  11.82
2016, 11,      NRTSI-G,      S,  14.54,   9.61
