year, mo,    data_type, region, extent,   area
1979,  1,      Goddard,      N,  15.60,  12.36
1980,  1,      Goddard,      N,  15.05,  11.88
1981,  1,      Goddard,      N,  15.11,  11.85
1982,  1,      Goddard,      N,  15.34,  12.13
1983,  1,      Goddard,      N,  15.16,  11.94
1984,  1,      Goddard,      N,  14.69,  11.62
1985,  1,      Goddard,      N,  14.96,  11.64
1986,  1,      Goddard,      N,  15.12,  11.82
1987,  1,      Goddard,      N,  15.28,  11.84
1988,  1,        -9999,      N,  -9999,  -9999
1989,  1,      Goddard,      N,  15.23,  13.14
1990,  1,      Goddard,      N,  15.07,  12.76
1991,  1,      Goddard,      N,  14.58,  12.53
1992,  1,      Goddard,      N,  14.86,  12.58
1993,  1,      Goddard,      N,  15.20,  12.89
1994,  1,      Goddard,      N,  14.94,  12.84
1995,  1,      Goddard,      N,  14.74,  12.75
1996,  1,      Goddard,      N,  14.35,  12.11
1997,  1,      Goddard,      N,  14.62,  12.35
1998,  1,      Goddard,      N,  14.94,  12.77
1999,  1,      Goddard,      N,  14.57,  12.57
2000,  1,      Goddard,      N,  14.54,  12.26
2001,  1,      Goddard,      N,  14.42,  12.31
2002,  1,      Goddard,      N,  14.57,  12.22
2003,  1,      Goddard,      N,  14.59,  12.25
2004,  1,      Goddard,      N,  14.15,  12.22
2005,  1,      Goddard,      N,  13.81,  11.88
2006,  1,      Goddard,      N,  13.72,  11.61
2007,  1,      Goddard,      N,  13.89,  11.82
2008,  1,      Goddard,      N,  14.14,  12.25
2009,  1,      Goddard,      N,  14.19,  12.27
2010,  1,      Goddard,      N,  13.91,  11.99
2011,  1,      Goddard,      N,  13.69,  11.79
2012,  1,      Goddard,      N,  13.86,  12.17
2013,  1,      Goddard,      N,  13.91,  11.98
2014,  1,      Goddard,      N,  13.86,  12.05
2015,  1,      Goddard,      N,  13.75,  12.13
2016,  1,      NRTSI-G,      N,  13.64,  11.68
2017,  1,      NRTSI-G,      N,  13.38,  11.25
